Date,Team 1,Team 2,Score 1,Score 2
11/3/2025,McMurry,Abilene Christian,55,92
11/3/2025,James Madison,Akron,71,85
11/3/2025,North Dakota,Alabama,62,91
11/3/2025,Blue Mountain,Alabama A&M,60,80
11/3/2025,Florida,Arizona,87,93
11/3/2025,Southern,Arkansas,77,109
11/3/2025,SUNY Maritime,Army,49,73
11/3/2025,Bethune Cookman,Auburn,90,95
11/3/2025,Bryan,Austin Peay,47,128
11/3/2025,Louisiana,Ball St.,64,75
11/3/2025,UT Rio Grande Valley,Baylor,81,96
11/3/2025,Air Force,Belmont,63,79
11/3/2025,Hawaii Pacific,Boise St.,79,78
11/3/2025,Texas St.,Bowling Green,48,83
11/3/2025,Delaware,Bucknell,70,78
11/3/2025,Southern Miss,Buffalo,79,85
11/3/2025,Villanova,BYU,66,71
11/3/2025,USC Upstate,Cal Baptist,75,87
11/3/2025,Cal Tech,Cal St. Fullerton,82,136
11/3/2025,Cal St. Bakersfield,California,60,87
11/3/2025,NVU Johnson,Central Connecticut,55,117
11/3/2025,Appalachian St.,Central Michigan,66,82
11/3/2025,Tusculum,Charleston,58,79
11/3/2025,Indiana St.,Charlotte,76,92
11/3/2025,Union,Chattanooga,39,92
11/3/2025,Western Carolina,Cincinnati,63,94
11/3/2025,New Hampshire,Clemson,38,88
11/3/2025,Montana St.,Colorado,78,84
11/3/2025,Incarnate Word,Colorado St.,64,98
11/3/2025,New Haven,Connecticut,55,79
11/3/2025,Nobel,CSUN,58,99
11/3/2025,DeSales,Davidson,63,97
11/3/2025,Canisius,Dayton,48,88
11/3/2025,Chicago St.,DePaul,62,92
11/3/2025,Northern Arizona,Drake,71,77
11/3/2025,Widener,Drexel,59,93
11/3/2025,Niagara,Duquesne,63,83
11/3/2025,Arlington Baptist,East Texas A&M,60,119
11/3/2025,Georgia St.,Eastern Michigan,49,71
11/3/2025,Florida National,FIU,49,101
11/3/2025,Boston College,Florida Atlantic,78,83
11/3/2025,New College of Florida,Florida Gulf Coast,60,96
11/3/2025,Fresno Pacific,Fresno St.,51,88
11/3/2025,High Point,Furman,97,71
11/3/2025,Wofford,George Mason,46,70
11/3/2025,Maine,George Washington,47,67
11/3/2025,Morgan St.,Georgetown,70,87
11/3/2025,Bellarmine,Georgia,59,104
11/3/2025,Maryland Eastern Shore,Georgia Tech,52,56
11/3/2025,Texas Southern,Gonzaga,43,98
11/3/2025,Huston Tillotson,Grambling St.,47,91
11/3/2025,Purdue Fort Wayne,Grand Canyon,71,90
11/3/2025,Lehigh,Houston,57,75
11/3/2025,Southern Arkansas,Houston Christian,70,74
11/3/2025,Missouri,Howard,88,67
11/3/2025,Jackson St.,Illinois,55,113
11/3/2025,Detroit Mercy,Illinois Chicago,71,91
11/3/2025,Fairleigh Dickinson,Iowa St.,50,88
11/3/2025,Oakwood,Jacksonville St.,63,117
11/3/2025,Green Bay,Kansas,51,94
11/3/2025,Evangel,Kansas City,74,80
11/3/2025,Paine,Kennesaw St.,29,105
11/3/2025,Troy,Kent St.,103,97
11/3/2025,Texas A&M San Antonio,Lamar,53,93
11/3/2025,SUNY Cobleskill,Le Moyne,50,94
11/3/2025,Kentucky Christian,Liberty,57,98
11/3/2025,Mary Baldwin,Longwood,55,92
11/3/2025,South Carolina St.,Louisville,45,104
11/3/2025,Cleveland St.,Loyola Chicago,88,91
11/3/2025,Lincoln CA,Loyola Marymount,54,137
11/3/2025,Towson,Loyola MD,67,56
11/3/2025,Albany,Marquette,53,80
11/3/2025,Coppin St.,Maryland,61,83
11/3/2025,Marshall,Massachusetts,78,72
11/3/2025,Champion Christian,McNeese,65,127
11/3/2025,Jacksonville,Miami FL,69,86
11/3/2025,Old Dominion,Miami OH,72,87
11/3/2025,Oakland,Michigan,78,121
11/3/2025,Colgate,Michigan St.,69,80
11/3/2025,Hampton,Milwaukee,86,90
11/3/2025,Gardner Webb,Minnesota,60,87
11/3/2025,Southeastern Louisiana,Mississippi,58,88
11/3/2025,Northwest Indian,Montana,41,106
11/3/2025,Midway,Morehead St.,84,89
11/3/2025,North Carolina Central,N.C. State,66,114
11/3/2025,West Georgia,Nebraska,53,86
11/3/2025,Murray St.,Nebraska Omaha,85,77
11/3/2025,Washington Adventist,Norfolk St.,76,98
11/3/2025,Central Arkansas,North Carolina,54,94
11/3/2025,New Mexico Highlands,North Texas,54,88
11/3/2025,Boston University,Northeastern,76,75
11/3/2025,Colorado College,Northern Colorado,57,91
11/3/2025,Louisiana Monroe,Northern Illinois,82,102
11/3/2025,Cincinnati Clermont,Northern Kentucky,69,126
11/3/2025,Mercyhurst,Northwestern,47,70
11/3/2025,LIU,Notre Dame,67,89
11/3/2025,Arkansas St.,Ohio,89,85
11/3/2025,IU Indy,Ohio St.,102,118
11/3/2025,Saint Francis,Oklahoma,66,102
11/3/2025,North Dakota St.,Oregon St.,65,67
11/3/2025,Fairfield,Penn St.,68,76
11/3/2025,Life Pacific,Pepperdine,80,88
11/3/2025,Youngstown St.,Pittsburgh,59,74
11/3/2025,Willamette,Portland,83,120
11/3/2025,Biblical Studies,Prairie View A&M,48,95
11/3/2025,Navy,Presbyterian,76,55
11/3/2025,Holy Cross,Providence,79,89
11/3/2025,Western Illinois,Radford,75,80
11/3/2025,Stetson,Rhode Island,62,93
11/3/2025,Lafayette,Saint Joseph's,76,85
11/3/2025,Southeast Missouri,Saint Louis,67,92
11/3/2025,St. Thomas,Saint Mary's,58,84
11/3/2025,LeTourneau,Sam Houston St.,59,95
11/3/2025,UC Santa Cruz,San Francisco,53,98
11/3/2025,Denver,Seattle,73,84
11/3/2025,Saint Peter's,Seton Hall,50,77
11/3/2025,Bryant,Siena,66,82
11/3/2025,Tarleton St.,SMU,76,96
11/3/2025,Utah Tech,South Dakota,81,79
11/3/2025,Merrimack,South Dakota St.,66,75
11/3/2025,Florida A&M,South Florida,67,102
11/3/2025,McKendree,Southern Illinois,42,83
11/3/2025,Bradley,St. Bonaventure,63,69
11/3/2025,Quinnipiac,St. John's,74,108
11/3/2025,Millsaps,Stephen F. Austin,76,103
11/3/2025,Thomas ME,Stonehill,48,100
11/3/2025,Farmingdale St.,Stony Brook,59,66
11/3/2025,Binghamton,Syracuse,47,85
11/3/2025,New Orleans,TCU,78,74
11/3/2025,Mercer,Tennessee,61,76
11/3/2025,Fisk,Tennessee St.,50,101
11/3/2025,Northwestern St.,Texas A&M,68,98
11/3/2025,Trinity TX,Texas A&M Corpus Chris,56,83
11/3/2025,Erskine,The Citadel,61,105
11/3/2025,South Alabama,Toledo,76,74
11/3/2025,Samford,Tulane,72,85
11/3/2025,Oklahoma Christian,Tulsa,57,100
11/3/2025,Mississippi Valley St.,UAB,55,106
11/3/2025,Menlo,UC Davis,69,96
11/3/2025,Bethesda,UC Irvine,49,125
11/3/2025,La Sierra,UC Riverside,49,90
11/3/2025,La Verne,UC San Diego,73,105
11/3/2025,Hofstra,UCF,78,82
11/3/2025,Eastern Washington,UCLA,74,80
11/3/2025,Rivier,UMass Lowell,55,107
11/3/2025,Mount Olive,UNC Wilmington,77,106
11/3/2025,Cal Poly,USC,64,94
11/3/2025,UNT Dallas,UT Arlington,40,91
11/3/2025,San Jose St.,Utah,75,84
11/3/2025,Westminster UT,Utah St.,54,110
11/3/2025,Texas Permian Basin,UTEP,56,98
11/3/2025,Lipscomb,Vanderbilt,61,105
11/3/2025,Wagner,VCU,74,103
11/3/2025,Western New England,Vermont,68,75
11/3/2025,Rider,Virginia,53,87
11/3/2025,Charleston Southern,Virginia Tech,67,98
11/3/2025,Johnson & Wales NC,VMI,58,122
11/3/2025,American,Wake Forest,74,88
11/3/2025,Arkansas Pine Bluff,Washington,50,94
11/3/2025,Idaho,Washington St.,83,81
11/3/2025,West Coast Baptist,Weber St.,38,130
11/3/2025,Tennessee Tech,Western Kentucky,70,82
11/3/2025,Coastal Carolina,Western Michigan,71,76
11/3/2025,Georgian Court,William & Mary,63,110
11/3/2025,Queens,Winthrop,74,81
11/3/2025,Campbell,Wisconsin,64,96
11/3/2025,Franklin,Wright St.,37,86
11/3/2025,Northern St.,Wyoming,75,99
11/3/2025,Marist,Xavier,62,66
11/4/2025,Southern Utah,Arizona St.,64,81
11/4/2025,Texas,Duke,60,75
11/4/2025,Georgia Southern,East Carolina,89,92
11/4/2025,Converse,East Tennessee St.,50,102
11/4/2025,Alcorn St.,Florida St.,76,108
11/4/2025,NJIT,Fordham,72,61
11/4/2025,Park,Idaho St.,71,81
11/4/2025,Robert Morris,Iowa,69,101
11/4/2025,UNC Greensboro,Kansas St.,64,93
11/4/2025,Nicholls,Kentucky,51,77
11/4/2025,Arkansas Baptist,Little Rock,63,92
11/4/2025,St. Joseph's NY Bkn,Manhattan,59,125
11/4/2025,Missouri Southern St.,Missouri St.,70,88
11/4/2025,Caldwell,Monmouth,68,96
11/4/2025,Louisiana Tech,Nevada,50,77
11/4/2025,Adams St.,New Mexico St.,72,83
11/4/2025,Oral Roberts,Oklahoma St.,71,95
11/4/2025,Hawaii,Oregon,59,60
11/4/2025,Evansville,Purdue,51,82
11/4/2025,Biblical Studies,Rice,38,109
11/4/2025,Dominican CA,Sacramento St.,79,103
11/4/2025,US Merchant Marine,Sacred Heart,46,103
11/4/2025,Occidental,San Diego,59,88
11/4/2025,Long Beach St.,San Diego St.,45,77
11/4/2025,Cal Poly Humboldt,Santa Clara,53,83
11/4/2025,East West,SIUE,50,119
11/4/2025,North Carolina A&T,South Carolina,72,91
11/4/2025,Portland St.,Stanford,79,89
11/4/2025,Lindenwood,Texas Tech,60,98
11/4/2025,San Francisco St.,UC Santa Barbara,67,98
11/4/2025,Penn St. York,UMBC,53,74
11/4/2025,Tennessee Martin,UNLV,86,81
11/4/2025,West Coast Baptist,Utah Valley,35,116
11/4/2025,Eastern Illinois,Valparaiso,63,66
11/4/2025,Mount St. Mary's,West Virginia,54,70
11/4/2025,UNC Asheville,Wichita St.,58,75
11/5/2025,Carolina,Appalachian St.,46,92
11/5/2025,RIT,Binghamton,56,66
11/5/2025,Southern Indiana,Butler,58,88
11/5/2025,Pacific Lutheran,Cal Poly,79,101
11/5/2025,South Dakota,Creighton,76,92
11/5/2025,Belmont Abbey,Elon,51,99
11/5/2025,USC Upstate,Fresno St.,67,66
11/5/2025,Maryland Eastern Shore,Georgia,29,94
11/5/2025,Alabama A&M,Indiana,51,98
11/5/2025,Washington & Lee,James Madison,56,70
11/5/2025,Coppin St.,La Salle,59,87
11/5/2025,Dickinson,Lafayette,44,79
11/5/2025,Eastern Washington,Loyola Marymount,62,70
11/5/2025,Tarleton St.,LSU,60,96
11/5/2025,Southern,Marquette,82,100
11/5/2025,LaGrange,Mercer,62,101
11/5/2025,Milligan,Middle Tennessee,51,100
11/5/2025,North Alabama,Mississippi St.,62,86
11/5/2025,MUW,Mississippi Valley St.,61,97
11/5/2025,Ottawa AZ,Montana,39,73
11/5/2025,Northwest Indian,Montana St.,44,114
11/5/2025,East Texas A&M,New Mexico,54,76
11/5/2025,Regent,Norfolk St.,55,119
11/5/2025,Life Pacific,Pacific,56,83
11/5/2025,Dallas,Prairie View A&M,53,94
11/5/2025,Bluefield,Presbyterian,76,105
11/5/2025,Lynchburg,Queens,76,87
11/5/2025,Southern Virginia,Richmond,56,84
11/5/2025,Rider,Rutgers,53,81
11/5/2025,Delaware St.,Temple,65,83
