Date,Team 1,Team 2,Score 1,Score 2
1/1/2026,Utah Tech,Abilene Christian,79,64
1/1/2026,North Florida,Austin Peay,83,102
1/1/2026,Bradley,Belmont,78,88
1/1/2026,UC San Diego,Cal Poly,65,67
1/1/2026,UC Irvine,Cal St. Bakersfield,81,77
1/1/2026,UC Santa Barbara,Cal St. Fullerton,84,95
1/1/2026,Florida Gulf Coast,Central Arkansas,83,85
1/1/2026,Georgia Southern,Coastal Carolina,82,81
1/1/2026,Elms,Dartmouth,43,107
1/1/2026,Sacramento St.,Idaho St.,84,97
1/1/2026,Murray St.,Illinois Chicago,81,77
1/1/2026,Evansville,Illinois St.,47,73
1/1/2026,Morehead St.,Lindenwood,64,77
1/1/2026,Jacksonville,Lipscomb,57,76
1/1/2026,Tennessee Tech,Little Rock,58,77
1/1/2026,Southern Miss,Louisiana Monroe,87,73
1/1/2026,Northern Arizona,Montana,64,78
1/1/2026,Northern Colorado,Montana St.,75,89
1/1/2026,Stetson,North Alabama,70,67
1/1/2026,Oral Roberts,North Dakota,61,72
1/1/2026,Indiana St.,Northern Iowa,66,75
1/1/2026,IU Indy,Northern Kentucky,72,81
1/1/2026,Green Bay,Purdue Fort Wayne,72,54
1/1/2026,Eastern Kentucky,Queens,89,91
1/1/2026,Southern Indiana,SIUE,55,59
1/1/2026,Nebraska Omaha,South Dakota St.,69,84
1/1/2026,Eastern Illinois,Southeast Missouri,59,68
1/1/2026,Valparaiso,Southern Illinois,70,75
1/1/2026,Utah Valley,Tarleton St.,91,85
1/1/2026,Western Illinois,Tennessee Martin,60,67
1/1/2026,CSUN,UC Davis,80,89
1/1/2026,Hawaii,UC Riverside,88,45
1/1/2026,Chattanooga,UNC Greensboro,72,77
1/1/2026,Cal Baptist,UT Arlington,51,63
1/1/2026,Samford,VMI,78,58
1/1/2026,Portland St.,Weber St.,95,90
1/1/2026,Bellarmine,West Georgia,85,87
1/1/2026,Milwaukee,Wright St.,70,76
1/1/2026,Oakland,Youngstown St.,85,83
1/2/2026,Notre Dame,California,71,72
1/2/2026,Fairfield,Canisius,81,85
1/2/2026,Wagner,Chicago St.,79,72
1/2/2026,Alfred St.,Cornell,65,133
1/2/2026,Jacksonville St.,Delaware,67,64
1/2/2026,Robert Morris,Detroit Mercy,85,77
1/2/2026,New Mexico St.,FIU,74,89
1/2/2026,Seattle,Gonzaga,72,80
1/2/2026,Siena,Iona,72,75
1/2/2026,West Virginia,Iowa St.,59,80
1/2/2026,Kennesaw St.,Liberty,73,81
1/2/2026,Central Connecticut,LIU,78,84
1/2/2026,Quinnipiac,Manhattan,79,80
1/2/2026,Oregon,Maryland,64,54
1/2/2026,Lamar,McNeese,70,82
1/2/2026,Fairleigh Dickinson,Mercyhurst,74,67
1/2/2026,Mount St. Mary's,Merrimack,65,75
1/2/2026,USC,Michigan,66,96
1/2/2026,Louisiana Tech,Middle Tennessee,51,88
1/2/2026,UTEP,Missouri St.,55,79
1/2/2026,Michigan St.,Nebraska,56,58
1/2/2026,Sacred Heart,Niagara,61,64
1/2/2026,Oregon St.,Pacific,53,84
1/2/2026,Ohio St.,Rutgers,80,73
1/2/2026,Le Moyne,Saint Francis,84,58
1/2/2026,Portland,Saint Mary's,57,78
1/2/2026,Marist,Saint Peter's,59,69
1/2/2026,San Diego,San Francisco,64,74
1/2/2026,Pepperdine,Santa Clara,63,82
1/2/2026,Louisville,Stanford,76,80
1/2/2026,New Haven,Stonehill,70,55
1/2/2026,Loyola Marymount,Washington St.,76,78
1/2/2026,Sam Houston St.,Western Kentucky,91,102
1/3/2026,Utah Valley,Abilene Christian,68,85
1/3/2026,Kentucky,Alabama,74,89
1/3/2026,Colorado,Arizona St.,95,89
1/3/2026,Tennessee,Arkansas,75,86
1/3/2026,Alabama A&M,Arkansas Pine Bluff,83,95
1/3/2026,James Madison,Arkansas St.,78,74
1/3/2026,Colgate,Army,76,69
1/3/2026,Jacksonville,Austin Peay,68,71
1/3/2026,Florida A&M,Bethune Cookman,83,87
1/3/2026,NJIT,Binghamton,73,65
1/3/2026,American,Boston University,64,62
1/3/2026,Lehigh,Bucknell,65,72
1/3/2026,Ball St.,Buffalo,72,85
1/3/2026,Villanova,Butler,85,67
1/3/2026,UC Irvine,Cal St. Fullerton,86,64
1/3/2026,Northeastern,Campbell,82,97
1/3/2026,Stetson,Central Arkansas,73,93
1/3/2026,Toledo,Central Michigan,78,75
1/3/2026,UNC Asheville,Charleston Southern,83,86
1/3/2026,Wichita St.,Charlotte,100,104
1/3/2026,Houston,Cincinnati,67,60
1/3/2026,Georgia St.,Coastal Carolina,89,71
1/3/2026,UC Santa Barbara,CSUN,65,74
1/3/2026,Coppin St.,Delaware St.,53,51
1/3/2026,Xavier,DePaul,77,86
1/3/2026,Hofstra,Drexel,70,67
1/3/2026,VCU,Duquesne,93,80
1/3/2026,Mercer,East Tennessee St.,71,77
1/3/2026,Ohio,Eastern Michigan,68,67
1/3/2026,Duke,Florida St.,91,87
1/3/2026,Nevada,Fresno St.,66,65
1/3/2026,Western Carolina,Furman,80,77
1/3/2026,Rhode Island,George Mason,50,61
1/3/2026,La Salle,George Washington,55,77
1/3/2026,Auburn,Georgia,100,104
1/3/2026,Boston College,Georgia Tech,53,65
1/3/2026,Prairie View A&M,Grambling St.,72,76
1/3/2026,Colorado St.,Grand Canyon,70,60
1/3/2026,Longwood,High Point,67,80
