Game_ID,Winner,Pick_Prob
1,Duke,0.94604
1,Siena,0.05396
10,Utah St.,0.64586
10,Villanova,0.35414
11,Wisconsin,0.66352
11,High Point,0.33648
12,Arkansas,0.8414
12,Hawaii,0.1586
13,Texas,0.63636
13,BYU,0.36364
14,Gonzaga,0.92296
14,Kennesaw St.,0.07704
15,Miami FL,0.53066
15,Missouri,0.46934
16,Purdue,0.91814
16,Queens,0.08186
17,Florida,0.94232
17,Lehigh,0.05768
18,Iowa,0.64474
18,Clemson,0.35526
19,Vanderbilt,0.70364
19,McNeese,0.29636
2,TCU,0.54026
2,Ohio St.,0.45974
20,Nebraska,0.9123
20,Troy,0.0877
21,VCU,0.50256
21,North Carolina,0.49744
22,Illinois,0.90846
22,Penn,0.09154
23,Texas A&M,0.56926
23,Saint Mary's,0.43074
24,Houston,0.9006
24,Idaho,0.0994
25,Michigan,0.9351
25,Howard,0.0649
26,Saint Louis,0.61042
26,Georgia,0.38958
27,Texas Tech,0.72212
27,Akron,0.27788
28,Alabama,0.78578
28,Hofstra,0.21422
29,Tennessee,0.66798
29,SMU,0.33202
3,St. John's,0.65464
3,Northern Iowa,0.34536
30,Virginia,0.89984
30,Wright St.,0.10016
31,Kentucky,0.52812
31,Santa Clara,0.47188
32,Iowa St.,0.93014
32,Tennessee St.,0.06986
33,Duke,0.82628
33,Ohio St.,0.09082
33,TCU,0.07926
33,Siena,0.00364
34,Kansas,0.56472
34,St. John's,0.30732
34,Northern Iowa,0.0784
34,Cal Baptist,0.04956
35,Michigan St.,0.7049
35,Louisville,0.21924
35,South Florida,0.05826
35,North Dakota St.,0.0176
36,Connecticut,0.73212
36,UCLA,0.15342
36,UCF,0.09532
36,Furman,0.01914
37,Arizona,0.75634
37,Utah St.,0.1588
37,Villanova,0.08172
37,LIU,0.00314
38,Arkansas,0.66744
38,Wisconsin,0.24128
38,High Point,0.05132
38,Hawaii,0.03996
39,Gonzaga,0.66696
39,Texas,0.19736
39,BYU,0.12576
39,Kennesaw St.,0.00992
4,Kansas,0.80194
4,Cal Baptist,0.19806
40,Purdue,0.7709
40,Miami FL,0.13162
40,Missouri,0.08508
40,Queens,0.0124
41,Florida,0.6162
41,Iowa,0.26996
41,Clemson,0.11124
41,Lehigh,0.0026
42,Nebraska,0.61076
42,Vanderbilt,0.3199
42,McNeese,0.05358
42,Troy,0.01576
43,Illinois,0.7863
43,North Carolina,0.10612
43,VCU,0.09286
43,Penn,0.01472
44,Houston,0.73766
44,Texas A&M,0.1295
44,Saint Mary's,0.11676
44,Idaho,0.01608
45,Michigan,0.76448
45,Saint Louis,0.1585
45,Georgia,0.07408
45,Howard,0.00294
46,Alabama,0.56866
46,Texas Tech,0.31666
46,Hofstra,0.06464
46,Akron,0.05004
47,Virginia,0.62258
47,Tennessee,0.27216
47,SMU,0.08936
47,Wright St.,0.0159
48,Iowa St.,0.76552
48,Kentucky,0.12266
48,Santa Clara,0.10386
48,Tennessee St.,0.00796
49,Duke,0.64164
49,Kansas,0.17042
49,St. John's,0.1156
49,Ohio St.,0.03808
49,TCU,0.01998
49,Northern Iowa,0.00976
49,Cal Baptist,0.00428
49,Siena,0.00024
5,Louisville,0.63088
5,South Florida,0.36912
50,Connecticut,0.44884
50,Michigan St.,0.37228
50,Louisville,0.08258
50,UCLA,0.05724
50,UCF,0.02498
50,South Florida,0.01064
50,Furman,0.00196
50,North Dakota St.,0.00148
51,Arizona,0.60282
51,Arkansas,0.24048
51,Wisconsin,0.07104
51,Utah St.,0.04758
51,Villanova,0.02544
51,High Point,0.00782
51,Hawaii,0.00466
51,LIU,0.00016
52,Purdue,0.51952
52,Gonzaga,0.28702
52,Miami FL,0.06572
52,Texas,0.05992
52,BYU,0.03604
52,Missouri,0.0297
52,Queens,0.00124
52,Kennesaw St.,0.00084
53,Florida,0.40262
53,Nebraska,0.32194
53,Vanderbilt,0.14672
53,Iowa,0.0867
53,Clemson,0.02666
53,McNeese,0.01308
53,Troy,0.00216
53,Lehigh,0.00012
54,Houston,0.4554
54,Illinois,0.39516
54,Saint Mary's,0.05338
54,Texas A&M,0.04702
54,North Carolina,0.02496
54,VCU,0.0214
54,Idaho,0.00194
54,Penn,0.00074
55,Michigan,0.61684
55,Alabama,0.18788
55,Texas Tech,0.11538
55,Saint Louis,0.03946
55,Georgia,0.02368
55,Hofstra,0.00882
55,Akron,0.00784
55,Howard,0.0001
56,Iowa St.,0.56308
56,Virginia,0.20568
56,Tennessee,0.10674
56,Kentucky,0.06236
56,Santa Clara,0.0446
56,SMU,0.01598
56,Tennessee St.,0.00078
56,Wright St.,0.00078
57,Duke,0.50598
57,Connecticut,0.16666
57,Michigan St.,0.15282
57,Kansas,0.0632
57,St. John's,0.04444
57,Louisville,0.0302
57,UCLA,0.0142
57,Ohio St.,0.00982
57,UCF,0.0045
57,TCU,0.00374
57,South Florida,0.00236
57,Northern Iowa,0.00132
57,Cal Baptist,0.00032
57,North Dakota St.,0.00028
57,Furman,0.00016
58,Arizona,0.41908
58,Purdue,0.26024
58,Gonzaga,0.13022
58,Arkansas,0.09186
58,Miami FL,0.0226
58,Texas,0.02028
58,Wisconsin,0.01912
58,BYU,0.01288
58,Utah St.,0.01066
58,Missouri,0.00636
58,Villanova,0.0054
58,High Point,0.00066
58,Hawaii,0.00044
58,Queens,0.0002
59,Houston,0.3097
59,Illinois,0.2565
59,Florida,0.20862
59,Nebraska,0.09636
59,Vanderbilt,0.04502
59,Saint Mary's,0.02396
59,Iowa,0.01874
59,Texas A&M,0.01706
59,North Carolina,0.01096
59,VCU,0.00728
59,Clemson,0.00414
59,McNeese,0.00128
59,Idaho,0.00016
59,Troy,0.00012
59,Penn,0.0001
6,Michigan St.,0.91548
6,North Dakota St.,0.08452
60,Michigan,0.39242
60,Iowa St.,0.2949
60,Virginia,0.08238
60,Alabama,0.0776
60,Tennessee,0.05378
60,Texas Tech,0.04148
60,Kentucky,0.0244
60,Santa Clara,0.01152
60,Saint Louis,0.00886
60,Georgia,0.00674
60,SMU,0.00364
60,Akron,0.00116
60,Hofstra,0.00098
60,Wright St.,8e-05
60,Tennessee St.,4e-05
60,Howard,2e-05
61,Duke,0.32724
61,Houston,0.1516
61,Florida,0.13872
61,Illinois,0.1356
61,Connecticut,0.05852
61,Michigan St.,0.05636
61,Nebraska,0.0395
61,Vanderbilt,0.01828
61,Kansas,0.01722
61,St. John's,0.0139
61,Saint Mary's,0.00974
61,Louisville,0.00952
61,Iowa,0.00616
61,Texas A&M,0.0052
61,North Carolina,0.00344
61,UCLA,0.0027
61,Ohio St.,0.00208
61,VCU,0.00156
61,Clemson,0.00098
61,UCF,0.00058
61,TCU,0.0004
61,South Florida,0.00024
61,McNeese,0.00024
61,Northern Iowa,0.00014
61,Troy,4e-05
61,Idaho,2e-05
61,North Dakota St.,2e-05
62,Michigan,0.30092
62,Arizona,0.21236
62,Iowa St.,0.1861
62,Purdue,0.08992
62,Gonzaga,0.03732
62,Virginia,0.03416
62,Alabama,0.0316
62,Arkansas,0.02736
62,Tennessee,0.0234
62,Texas Tech,0.0172
62,Kentucky,0.0098
62,Wisconsin,0.00514
62,Miami FL,0.00452
62,Texas,0.00402
62,Santa Clara,0.00328
62,Saint Louis,0.00284
62,BYU,0.00276
62,Georgia,0.00212
62,Utah St.,0.00184
62,SMU,0.0012
62,Villanova,0.00102
62,Missouri,0.00072
62,Akron,0.00022
62,Hofstra,0.00012
62,Hawaii,2e-05
62,High Point,2e-05
62,Tennessee St.,2e-05
63,Michigan,0.21492
63,Duke,0.1952
63,Arizona,0.14722
63,Iowa St.,0.09328
63,Florida,0.06438
63,Houston,0.0517
63,Illinois,0.049
63,Purdue,0.0395
63,Gonzaga,0.01856
63,Michigan St.,0.01786
63,Connecticut,0.01622
63,Virginia,0.01308
63,Alabama,0.01108
63,Arkansas,0.01074
63,Tennessee,0.0105
63,Nebraska,0.00944
63,Texas Tech,0.0062
63,Vanderbilt,0.00536
63,Kansas,0.00328
63,St. John's,0.00314
63,Kentucky,0.0031
63,Louisville,0.00202
63,Saint Mary's,0.00178
63,Wisconsin,0.00148
63,Miami FL,0.00142
63,Texas,0.00118
63,BYU,0.00098
63,Iowa,0.00096
63,Saint Louis,0.00086
63,Santa Clara,0.00068
63,Texas A&M,0.00066
63,North Carolina,0.00064
