Game_ID,Winner,Pick_Prob
1,Duke,0.94604
10,Utah St.,0.64586
11,Wisconsin,0.66352
12,Arkansas,0.8414
13,Texas,0.63636
14,Gonzaga,0.92296
15,Miami FL,0.53066
16,Purdue,0.91814
17,Florida,0.94232
18,Iowa,0.64474
19,Vanderbilt,0.70364
2,TCU,0.54026
20,Nebraska,0.9123
21,VCU,0.50256
22,Illinois,0.90846
23,Texas A&M,0.56926
24,Houston,0.9006
25,Michigan,0.9351
26,Saint Louis,0.61042
27,Texas Tech,0.72212
28,Alabama,0.78578
29,Tennessee,0.66798
3,St. John's,0.65464
30,Virginia,0.89984
31,Kentucky,0.52812
32,Iowa St.,0.93014
33,Duke,0.82628
34,Kansas,0.56472
35,Michigan St.,0.7049
36,Connecticut,0.73212
37,Arizona,0.75634
38,Arkansas,0.66744
39,Gonzaga,0.66696
4,Kansas,0.80194
40,Purdue,0.7709
41,Florida,0.6162
42,Nebraska,0.61076
43,Illinois,0.7863
44,Houston,0.73766
45,Michigan,0.76448
46,Alabama,0.56866
47,Virginia,0.62258
48,Iowa St.,0.76552
49,Duke,0.64164
5,Louisville,0.63088
50,Connecticut,0.44884
51,Arizona,0.60282
52,Purdue,0.51952
53,Florida,0.40262
54,Houston,0.4554
55,Michigan,0.61684
56,Iowa St.,0.56308
57,Duke,0.50598
58,Arizona,0.41908
59,Houston,0.3097
6,Michigan St.,0.91548
60,Michigan,0.39242
61,Duke,0.32724
62,Michigan,0.30092
63,Michigan,0.21492
7,UCF,0.51928
8,Connecticut,0.90914
9,Arizona,0.94104
