Game_ID,Winner,Pick_Prob
1,Duke,0.93554
1,Howard,0.06446
10,Clemson,0.57512
10,Ohio St.,0.42488
11,Tennessee,0.72144
11,Northern Iowa,0.27856
12,Texas Tech,0.8279
12,Utah Valley,0.1721
13,SMU,0.52722
13,Wisconsin,0.47278
14,Iowa St.,0.92044
14,North Dakota St.,0.07956
15,N.C. State,0.59956
15,Georgia,0.40044
16,Connecticut,0.90486
16,Queens,0.09514
17,Florida,0.91904
17,Southern,0.08096
18,TCU,0.60092
18,Miami FL,0.39908
19,St. John's,0.63098
19,South Florida,0.36902
2,Iowa,0.6202
2,Utah St.,0.3798
20,Purdue,0.8619
20,Liberty,0.1381
21,Louisville,0.64452
21,Missouri,0.35548
22,Nebraska,0.903
22,Wright St.,0.097
23,Saint Mary's,0.50416
23,Texas,0.49584
24,Houston,0.89044
24,Furman,0.10956
25,Arizona,0.94286
25,Siena,0.05714
26,Texas A&M,0.5898
26,UCLA,0.4102
27,Arkansas,0.6968
27,Yale,0.3032
28,Virginia,0.68826
28,McNeese,0.31174
29,BYU,0.70334
29,Miami OH,0.29666
3,Vanderbilt,0.78096
3,High Point,0.21904
30,Gonzaga,0.88468
30,UC Irvine,0.11532
31,Saint Louis,0.59316
31,Kentucky,0.40684
32,Illinois,0.9268
32,Tennessee St.,0.0732
33,Duke,0.7736
33,Iowa,0.15638
33,Utah St.,0.06576
33,Howard,0.00426
34,Vanderbilt,0.46952
34,Kansas,0.40268
34,Hofstra,0.06944
34,High Point,0.05836
35,Alabama,0.69946
35,North Carolina,0.16964
35,UCF,0.10082
35,Troy,0.03008
36,Michigan St.,0.74254
36,Santa Clara,0.1249
36,Villanova,0.1228
36,UMBC,0.00976
37,Michigan,0.75584
37,Clemson,0.1518
37,Ohio St.,0.08944
37,LIU,0.00292
38,Texas Tech,0.56632
38,Tennessee,0.3205
38,Utah Valley,0.05774
38,Northern Iowa,0.05544
39,Iowa St.,0.76364
39,Wisconsin,0.12134
39,SMU,0.09542
39,North Dakota St.,0.0196
4,Kansas,0.73432
4,Hofstra,0.26568
40,Connecticut,0.67766
40,N.C. State,0.17522
40,Georgia,0.13162
40,Queens,0.0155
41,Florida,0.68806
41,TCU,0.16334
41,Miami FL,0.14456
41,Southern,0.00404
42,Purdue,0.66714
42,St. John's,0.2173
42,South Florida,0.07512
42,Liberty,0.04044
43,Nebraska,0.60212
43,Louisville,0.29598
43,Missouri,0.0883
43,Wright St.,0.0136
44,Houston,0.71494
44,Saint Mary's,0.14014
44,Texas,0.13296
44,Furman,0.01196
45,Arizona,0.76948
45,Texas A&M,0.12558
45,UCLA,0.1026
45,Siena,0.00234
46,Virginia,0.43714
46,Arkansas,0.37962
46,McNeese,0.11976
46,Yale,0.06348
47,Gonzaga,0.67778
47,BYU,0.2443
47,Miami OH,0.04352
47,UC Irvine,0.0344
48,Illinois,0.80642
48,Saint Louis,0.0994
48,Kentucky,0.0842
48,Tennessee St.,0.00998
49,Duke,0.6253
49,Vanderbilt,0.14788
49,Kansas,0.12258
49,Iowa,0.0672
49,Utah St.,0.02094
49,Hofstra,0.00834
49,High Point,0.00748
49,Howard,0.00028
5,North Carolina,0.54424
5,UCF,0.45576
50,Michigan St.,0.51232
50,Alabama,0.2883
50,Villanova,0.06868
50,Santa Clara,0.05862
50,North Carolina,0.05094
50,UCF,0.01806
50,Troy,0.00186
50,UMBC,0.00122
51,Michigan,0.5455
51,Texas Tech,0.19934
51,Tennessee,0.15814
51,Clemson,0.0428
51,Ohio St.,0.0363
51,Northern Iowa,0.0097
51,Utah Valley,0.0081
51,LIU,0.00012
52,Iowa St.,0.41838
52,Connecticut,0.3994
52,N.C. State,0.06476
52,Georgia,0.05076
52,Wisconsin,0.03914
52,SMU,0.0242
52,Queens,0.00174
52,North Dakota St.,0.00162
53,Florida,0.44518
53,Purdue,0.33984
53,St. John's,0.10606
53,Miami FL,0.03854
53,TCU,0.03782
53,South Florida,0.02416
53,Liberty,0.00822
53,Southern,0.00018
54,Houston,0.53152
54,Nebraska,0.18932
54,Louisville,0.10474
