Game_ID,Round,Team1,Team2,Team1_Win_Prob,Team2_Win_Prob,PickPct1,PickPct2,Recommended_Pick,Recommended_EV
1,1,Duke,Howard,0.9355497672978103,0.06445023270218975,0.0,0.0,Duke,9.355497672978103
2,1,Utah St.,Iowa,0.37976489629399146,0.6202351037060085,0.0,0.0,Iowa,6.202351037060085
3,1,Vanderbilt,High Point,0.783421431729647,0.21657856827035304,0.0,0.0,Vanderbilt,7.834214317296469
4,1,Kansas,Hofstra,0.7356503245493243,0.26434967545067567,0.0,0.0,Kansas,7.3565032454932435
5,1,North Carolina,UCF,0.5417772912985269,0.4582227087014731,0.0,0.0,North Carolina,5.417772912985269
6,1,Alabama,Troy,0.8798535393733058,0.12014646062669421,0.0,0.0,Alabama,8.798535393733058
7,1,Villanova,Santa Clara,0.508207028758937,0.491792971241063,0.0,0.0,Villanova,5.08207028758937
8,1,Michigan St.,UMBC,0.920823142060137,0.07917685793986295,0.0,0.0,Michigan St.,9.20823142060137
9,1,Michigan,LIU,0.9463050438140442,0.05369495618595577,0.0,0.0,Michigan,9.463050438140442
10,1,Ohio St.,Clemson,0.4240268545707247,0.5759731454292754,0.0,0.0,Clemson,5.759731454292753
11,1,Tennessee,Northern Iowa,0.71920268842196,0.28079731157804,0.0,0.0,Tennessee,7.1920268842196
12,1,Texas Tech,Utah Valley,0.8273998642790126,0.17260013572098742,0.0,0.0,Texas Tech,8.273998642790126
13,1,Wisconsin,SMU,0.4749896708719965,0.5250103291280035,0.0,0.0,SMU,5.250103291280035
14,1,Iowa St.,North Dakota St.,0.9205151653620782,0.07948483463792178,0.0,0.0,Iowa St.,9.205151653620781
15,1,Georgia,N.C. State,0.39998148596213134,0.6000185140378687,0.0,0.0,N.C. State,6.0001851403786866
16,1,Connecticut,Queens,0.9059748213330513,0.0940251786669487,0.0,0.0,Connecticut,9.059748213330513
17,1,Florida,Southern,0.9201998385086406,0.07980016149135938,0.0,0.0,Florida,9.201998385086407
18,1,Miami FL,TCU,0.3992407634532455,0.6007592365467544,0.0,0.0,TCU,6.007592365467545
19,1,St. John's,South Florida,0.6345279092556941,0.36547209074430587,0.0,0.0,St. John's,6.345279092556941
20,1,Purdue,Liberty,0.8613283377297911,0.13867166227020888,0.0,0.0,Purdue,8.613283377297911
21,1,Louisville,Missouri,0.6428518106902631,0.3571481893097369,0.0,0.0,Louisville,6.428518106902631
22,1,Nebraska,Wright St.,0.9018829125390325,0.09811708746096748,0.0,0.0,Nebraska,9.018829125390326
23,1,Saint Mary's,Texas,0.5013852583351122,0.49861474166488784,0.0,0.0,Saint Mary's,5.013852583351122
