Team,Round,Advance_Prob
Michigan,1,0.94598
Arizona,1,0.94286
Duke,1,0.93554
Illinois,1,0.9268
Michigan St.,1,0.92136
Iowa St.,1,0.92044
Florida,1,0.91904
Connecticut,1,0.90486
Nebraska,1,0.903
Houston,1,0.89044
Gonzaga,1,0.88468
Alabama,1,0.8798
Purdue,1,0.8619
Texas Tech,1,0.8279
Vanderbilt,1,0.78096
Kansas,1,0.73432
Tennessee,1,0.72144
BYU,1,0.70334
Arkansas,1,0.6968
Virginia,1,0.68826
Louisville,1,0.64452
St. John's,1,0.63098
Iowa,1,0.6202
TCU,1,0.60092
N.C. State,1,0.59956
Saint Louis,1,0.59316
Texas A&M,1,0.5898
Clemson,1,0.57512
North Carolina,1,0.54424
SMU,1,0.52722
Villanova,1,0.50716
Saint Mary's,1,0.50416
Texas,1,0.49584
Santa Clara,1,0.49284
Wisconsin,1,0.47278
UCF,1,0.45576
Ohio St.,1,0.42488
UCLA,1,0.4102
Kentucky,1,0.40684
Georgia,1,0.40044
Miami FL,1,0.39908
Utah St.,1,0.3798
South Florida,1,0.36902
Missouri,1,0.35548
McNeese,1,0.31174
Yale,1,0.3032
Miami OH,1,0.29666
Northern Iowa,1,0.27856
Hofstra,1,0.26568
High Point,1,0.21904
Utah Valley,1,0.1721
Liberty,1,0.1381
Troy,1,0.1202
UC Irvine,1,0.11532
Furman,1,0.10956
Wright St.,1,0.097
Queens,1,0.09514
Southern,1,0.08096
North Dakota St.,1,0.07956
UMBC,1,0.07864
Tennessee St.,1,0.0732
Howard,1,0.06446
Siena,1,0.05714
LIU,1,0.05402
Illinois,2,0.80642
Duke,2,0.7736
Arizona,2,0.76948
Iowa St.,2,0.76364
Michigan,2,0.75584
Michigan St.,2,0.74254
Houston,2,0.71494
Alabama,2,0.69946
Florida,2,0.68806
Gonzaga,2,0.67778
Connecticut,2,0.67766
Purdue,2,0.66714
Nebraska,2,0.60212
Texas Tech,2,0.56632
Vanderbilt,2,0.46952
Virginia,2,0.43714
Kansas,2,0.40268
Arkansas,2,0.37962
Tennessee,2,0.3205
Louisville,2,0.29598
BYU,2,0.2443
St. John's,2,0.2173
N.C. State,2,0.17522
North Carolina,2,0.16964
TCU,2,0.16334
Iowa,2,0.15638
Clemson,2,0.1518
Miami FL,2,0.14456
Saint Mary's,2,0.14014
Texas,2,0.13296
Georgia,2,0.13162
Texas A&M,2,0.12558
Santa Clara,2,0.1249
Villanova,2,0.1228
Wisconsin,2,0.12134
McNeese,2,0.11976
UCLA,2,0.1026
UCF,2,0.10082
Saint Louis,2,0.0994
SMU,2,0.09542
Ohio St.,2,0.08944
Missouri,2,0.0883
Kentucky,2,0.0842
South Florida,2,0.07512
Hofstra,2,0.06944
Utah St.,2,0.06576
Yale,2,0.06348
High Point,2,0.05836
Utah Valley,2,0.05774
Northern Iowa,2,0.05544
Miami OH,2,0.04352
Liberty,2,0.04044
UC Irvine,2,0.0344
Troy,2,0.03008
North Dakota St.,2,0.0196
Queens,2,0.0155
